as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-15,REMX,-AUD CASH-,,CASH,,2.0,1.0,0.0,AUD,,Australia,web_csv
2026-06-15,REMX,-CAD CASH-,,CASH,,319.0,228.0,0.0,CAD,,Canada,web_csv
2026-06-15,REMX,-CNY CASH-,,CASH,,-47588413.0,-7041581.0,-0.24,CNY,,China,web_csv
2026-06-15,REMX,-HKD CASH-,,CASH,,0.0,0.0,0.0,HKD,,China,web_csv
2026-06-15,REMX,-USD CASH-,,CASH,,-30106142.0,-30106142.0,-1.02,USD,,United States,web_csv
2026-06-15,REMX,-ZAR CASH-,,CASH,,496.0,31.0,0.0,ZAR,,South Africa,web_csv
2026-06-15,REMX,1772 HK,Ganfeng Lithium Group Co Ltd,CNE1000031W9,,16925240.0,132928168.0,4.49,HKD,Materials,China,web_csv
2026-06-15,REMX,3858 HK,Jiaxin International Resources Investme,HK0001188587,,4267200.0,48330632.0,1.63,HKD,Materials,Kazakhstan,web_csv
2026-06-15,REMX,600111 C1,China Northern Rare Earth Group High-Te,CNE000000T18,,27142328.0,202630045.0,6.84,CNY,Materials,China,web_csv
2026-06-15,REMX,600392 C1,Shenghe Resources Holding Co Ltd,CNE000001DZ5,,33283281.0,129738153.0,4.38,CNY,Materials,China,web_csv
2026-06-15,REMX,600456 C1,Baoji Titanium Industry Co Ltd,CNE000001B41,,9071773.0,40977221.0,1.38,CNY,Materials,China,web_csv
2026-06-15,REMX,600549 C1,Xiamen Tungsten Co Ltd,CNE000001D15,,16145909.0,169373483.0,5.72,CNY,Materials,China,web_csv
2026-06-15,REMX,601958 C1,Jinduicheng Molybdenum Co Ltd,CNE1000009Y1,,39480270.0,163576014.0,5.52,CNY,Materials,China,web_csv
2026-06-15,REMX,603067 C1,Hubei Zhenhua Chemical Co Ltd,CNE100002FN3,,13495344.0,68885017.0,2.32,CNY,Materials,China,web_csv
2026-06-15,REMX,603663 C1,Sanxiang Advanced Materials Co Ltd,CNE1000030V3,,637500.0,7132818.0,0.24,CNY,Materials,China,web_csv
